"id","fdc_id","fdc_of_input_food","seq_num","amount","sr_code","sr_description","unit","portion_code","portion_description","gram_weight","retention_code","survey_flag"
"113226","2343247","","1","100.0","43441","Rolls, pumpernickel","GM","0","NONE","100.0","0",""
"113227","2343248","","1","100.0","18039","Bread, oatmeal","GM","0","NONE","100.0","0",""
"113228","2343249","","1","100.0","18039","Bread, oatmeal","GM","0","NONE","100.0","306",""
"113229","2343250","","1","100.0","18039","Bread, oatmeal","GM","0","NONE","100.0","0",""
"113230","2343251","","1","100.0","18039","Bread, oatmeal","GM","0","NONE","100.0","306",""
"113231","2343252","","1","100.0","18968","Bagels, wheat","GM","0","NONE","100.0","0",""
"113232","2343253","","1","100.0","18039","Bread, oatmeal","GM","0","NONE","100.0","0",""
"113233","2343254","","1","100.0","18039","Bread, oatmeal","GM","0","NONE","100.0","0",""
"113234","2343255","","1","90.0","18039","Bread, oatmeal","GM","0","NONE","90.0","0",""
"113235","2343255","","2","10.0","9298","Raisins, dark, seedless (Includes foods for USDA's Food Distribution Program)","GM","0","NONE","10.0","0",""
"113236","2343256","","1","100.0","28397","Bread, multi-grain (includes whole-grain)","GM","0","NONE","100.0","306",""
"113237","2343257","","1","100.0","28397","Bread, multi-grain (includes whole-grain)","GM","0","NONE","100.0","0",""
"113238","2343258","","1","90.0","28397","Bread, multi-grain (includes whole-grain)","GM","0","NONE","90.0","0",""
"113239","2343258","","2","10.0","9298","Raisins, dark, seedless (Includes foods for USDA's Food Distribution Program)","GM","0","NONE","10.0","0",""
"113240","2343259","","1","100.0","51601210","Bread, multigrain, with raisins","GM","0","NONE","100.0","306",""
"113241","2343260","","1","97.0","18057","Bread, reduced-calorie, white","GM","0","NONE","97.0","0",""
"113242","2343260","","2","3.0","20077","Wheat bran, crude","GM","0","NONE","3.0","0",""
"113243","2343261","","1","100.0","51602010","Bread, multigrain, reduced calorie and/or high fiber","GM","0","NONE","100.0","306",""
"113244","2343262","","1","100.0","18351","Rolls, hamburger or hotdog, mixed-grain","GM","0","NONE","100.0","0",""
